Kampagne,Linktext,Finale URL,Textzeile 1,Textzeile 2
"P3 K2 Familie","Musterfamilie ansehen","https://k2-galerie.vercel.app/projects/k2-familie/meine-familie?t=huber&k=p3-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p3-google-2026q2","Demo Huber ohne Anmeldung","Fotos, Chronik, Stammbaum"
"P3 K2 Familie","Familien-Lizenz","https://k2-galerie.vercel.app/projects/k2-familie/lizenz-erwerben?k=p3-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p3-google-2026q2","Eigene Familie starten","Transparente Konditionen"
"P3 K2 Familie","Stammbaum Demo","https://k2-galerie.vercel.app/projects/k2-familie/stammbaum?t=huber&k=p3-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p3-google-2026q2","Beziehungen aus Karten","Musterfamilie Huber live"
"P3 K2 Familie","K2 Familie Handbuch","https://k2-galerie.vercel.app/k2-familie-handbuch?k=p3-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p3-google-2026q2","Schritt für Schritt erklärt","Für Familien in DACH"
"P3 K2 Familie","Präsentation ansehen","https://k2-galerie.vercel.app/projects/k2-familie/praesentationsmappe-kunde?k=p3-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p3-google-2026q2","So funktioniert K2 Familie","Überblick zum Zeigen"
"P3 K2 Familie","AGB & Rechtliches","https://k2-galerie.vercel.app/agb?k=p3-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p3-google-2026q2","Transparent und fair","kgm solution · K2 Familie"
