Kampagne,Linktext,Finale URL,Textzeile 1,Textzeile 2
"Campaign #1","Demo-Galerie ansehen","https://k2-galerie.vercel.app/projects/k2-galerie/galerie-oeffentlich?k=p1-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p1-google-2026q2","Musterwerke live im Browser","Ohne Anmeldung sofort"
"Campaign #1","Galerie-Software kaufen","https://k2-galerie.vercel.app/projects/k2-galerie/lizenz-kaufen?k=p1-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p1-google-2026q2","Monatsabo ab 10 Euro","Zahlung über Stripe"
"Campaign #1","Preise & Lizenzen","https://k2-galerie.vercel.app/projects/k2-galerie/licences?k=p1-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p1-google-2026q2","Ab 10 Euro pro Monat","Pro mit Kassa & Marketing"
"Campaign #1","Benutzerhandbuch","https://k2-galerie.vercel.app/benutzer-handbuch?k=p1-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p1-google-2026q2","Schritt für Schritt erklärt","Für Künstler:innen & Galerien"
"Campaign #1","Galerie-Vorschau","https://k2-galerie.vercel.app/projects/k2-galerie/galerie-oeffentlich-vorschau?k=p1-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p1-google-2026q2","So sieht Besucher:innen aus","Design & Werke im Überblick"
"Campaign #1","AGB & Rechtliches","https://k2-galerie.vercel.app/agb?k=p1-google-2026q2&utm_source=google&utm_medium=cpc&utm_campaign=p1-google-2026q2","Transparent und fair","kgm solution - K2 Galerie"
